Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg,,@AtakanCemile,,Emre’yi bizim kanalımızda konuk olarak görmek isteyenler bu yorumu beğeniyor👇🚀,"2,8 B",6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgwvpJX3cgAyjuvyfVp4AaABAg,,@Eliffefil,,Orda star inci olurdu..,1 B,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyFVq8MhBZXQW3ePPh4AaABAg,,@zeyysudeezs,,Bölüm özeti; Cemile yemeği yapıyor Emre ve atakan da önlükleriyle geyik yapıyorlar shhxjsndnbx,932,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgzgsndwGES_5ctY0Kd4AaABAg,,@Zey-Betül,,Atakan ve Cemile'nin yan yanayken verdikleri seyir zevki ayrı bi seviye,969,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxoUB7waruidEr67zx4AaABAg,,@NehirAydn-sy9wh,,Cemilenin geldiği her bölümde annesini arayıp tarif sorması,845,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugzx9LdMFAAxOHSw0PZ4AaABAg,,@duru_demirdas,,Gida muhendisiyle yemek yapmak herkese nasip olmaz degerinizi bilin,705,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyKZ1g-zEGK1kbaJ014AaABAg,,@tuvba000,,İçlerinde kalmasın diye yemekle ilgili bütün şakaları yapıp öyle başladılar khdkshxkshdjs,432,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugx-pL2ROV7eEdxygnB4AaABAg,,@emarcenn,,cemile’nin tariften sapıp annesiyle sohbete dalması koparttı,228,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyJmN7ZqL6-o1Bz6ap4AaABAg,,@selvii1,,0:26 geçen hafta ❌ geçen ay ✅,400,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugw8LHPyfJKyZVDGOB14AaABAg,,@NehirAydn-sy9wh,,"""Herkesin bir tavuk didişi vardır.""
-Atakan Çelik",237,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgwTsW37LgGNvO6iv0p4AaABAg,,@hzd1522,,40:10 cemile oğuzhan koç şarkısı söyleyip mustafa sandal dansı yapıp tarkanı düşündü döşröcğeçdğe,191,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgzH4uEWQ03FoZVSAZF4AaABAg,,@esrasecer3627,,Peki Atakanın eldiveni taktıktan sonra saçıyla oynayıp sonrasında da ben bu eldivenlerin hijyeni konusunda şüpheliyim adamlar döner kesip sonrasında aynı eldivenle para veriyo demesi hahahaha,165,6 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxA5Y2BzMdJtFMZort4AaABAg,,@HerhangiBiri-b5d,,Bu arada arif ile cenan da bekleniyor,289,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugxjv8yFccr3PB5CF154AaABAg,,@Ayzetbores,,"abi evde sarı gömlekli, kıvırcık saçlı biri var gizlice yemek yapıyor dikkat edin",41,5 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyKYpNZDoqY1ziinMl4AaABAg,,@htcrby,,"29:31 ""hazır su"" ifadesine şaşırılmasına şaşırdım😅 yaygın kullaniliyor sanıyordum 🤭",99,6 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxrxpB8j-r3q9cT3ox4AaABAg,,@AyselQazixanova,,Emrenin her defasına babasına ünsüz konuk demesi çok komik😂😂😂,46,6 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxdZ849XG1KJGBi4MZ4AaABAg,,@Damla-o4y,,46:31 Emeğimiz(Cemile'nin emeği) 😅,49,5 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgwriX5QaJZaxcFUz6N4AaABAg,,@selvii1,,46:03 aç kalacaz diyen atakan ve kaseyi tepesine diken atakanın aynı kişi olduğuna enin miyizz 😂,59,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugxn3gP-zb0pTGzp8lZ4AaABAg,,@semanurekinci8192,,4:08 Emrenin sallama yeteneği pekii sınav kağıdı boş kalmasın diye salladığım cevaplar gibi,44,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugw6HereHGFRH5WPgj54AaABAg,,@süheyla.e,,Cemile incinin büyümüş versiyonu gibi geldi nedense bana😅,31,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWBmmb7dqV9,Ugw6HereHGFRH5WPgj54AaABAg,@elifhazalbas3418,@süheyla.e,Neden bir kere beğenebiliyoruz ya 😃,14,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWBp74VWPMU,Ugw6HereHGFRH5WPgj54AaABAg,@İpek-d7z7f,@süheyla.e,Abi hepiniz çok yakışıklısınız lütfen cevap yazın özellikle Emre abi,7,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWC9w9FBZfR,Ugw6HereHGFRH5WPgj54AaABAg,@ozlemozkan1789,@süheyla.e,Boykotu unutmayalım zalimin zulmüne ortak olmayalım,4,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWBnjOXvwWt,Ugw6HereHGFRH5WPgj54AaABAg,@BerilKeskin-p9g,@süheyla.e,Gelsin,2,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWBtW3szFeB,Ugw6HereHGFRH5WPgj54AaABAg,@esilayyyy,@süheyla.e,Mükemmel olur,2,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWC1vVMCmte,Ugw6HereHGFRH5WPgj54AaABAg,@muratbozkurt1365,@süheyla.e,tek kötü yanı 1 saatten az olmasıydı teşekkürler cemile&atakan,1,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWF5iYW8tyM,Ugw6HereHGFRH5WPgj54AaABAg,@sultan_jjd,@süheyla.e,Kesinlikle,1,5 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWBwpiCekVn,Ugw6HereHGFRH5WPgj54AaABAg,@MevlüdeKılıçay-18,@süheyla.e,Gelsin güzel olur❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWBx0OwDvAF,Ugw6HereHGFRH5WPgj54AaABAg,@begumm23,@süheyla.e,Çok güzel olurrr,0,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxHPjkqYFAgKDVDg9d4AaABAg.AWBk4QOseJuAWBzt9X47AA,Ugw6HereHGFRH5WPgj54AaABAg,@zehraklnc8855,@süheyla.e,Eveeeeeeet❤❤❤❤❤,0,6 gün önce,Evet
