Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxTKaIP-Tnq-diqHnZ4AaABAg,,@beyzanuraktass,,Ya bir adam katıldığı her talkshowu uçurur mu Enis Arıkan bu işi harika bir şekilde yapıyor keşke daha çok göz önünde bulunsa fazlasıyla hak ediyor.,600,3 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxF9boGeaFMml5izA54AaABAg,,@nigarsise,,Güzel şaka yapmak kadar şakayı kaldırabilmek gülüp geçme de ayrı bir olay Melis’in de hakkını vermek lazım,443,2 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzauX4DzLYrbVcZq9Z4AaABAg,,@konulm-ova4099,,Programa komedyen diye gelen konuklardan çok daha komikti. Təşəkkürlər.,783,4 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwO9oRDInlV9TNQzel4AaABAg,,@mervegundogduuu,,Adam gerçekten komik olunca Melis'in gülüşüne kimse takmamış ahhakskslsljjj,437,4 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwdFwo05LTl0hJS1314AaABAg,,@zeynepnur3503,,"ben basit bir insanım başlıkta "" Enis Arıkan "" yazması videoyu izlemem için yeterli",817,4 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzFQaTygLRk9sBHMtN4AaABAg,,@ask3043,,"Gülmekten yoruldum. Melis işitene de hakkını vermek lazım konuğunu çok güzel dinliyor,sürekli araya girmeye çalışmıyor,şakalarını alttan alabiliyor. Güzel bir bölüm olmuş",326,4 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzP4BU9WHtRISR6XzJ4AaABAg,,@mervegundogduuu,,Baştan sona kadar o kadar güldüm ki en iyi zaten şovdu bence. Enis harikasın ya ayağına taş değmesin,578,4 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyEulWRAhYRkchunol4AaABAg,,@Asenadamlatok,,Enisin söylediği her şeyi Ezgi Mola ya bağlamam normal mi 😂,296,4 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgykGf3wtHAS8crwZ4V4AaABAg,,@HaticeÇAKAR-j8z,,Ne kadar da hırslarından arınmış kendisiyle barışık bir insan. O kıza yaptığı jest bunun göstergesi. Kendisi 40 küsür yaşında ama hayatın zorluklarını gördüğü için heves kırmamaya çalışıyor. Senin hiçbir projen tutmadı değil Enis. Senin direkt karakterin tuttu. Yüzümüzü güldürdüğün ve kalbimizi ısıttığın için teşekkürler.,177,4 gün önce,Hayır
https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwLY48F8Ep_TdjKs2J4AaABAg,,@user-cl2wf5xw8t,,Kolay kolay yorum yapan biri değilim ama ENİS ARIKAN BİR MARKADIR VE DE STARDIRR!!! Bayıldım ona gülmekten gerçekten muazzam özel biri!🫠,229,4 gün önce,Hayır
