Video Başlığı,Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,BERTurk_Etiketi,BERTurk_Confidence,Kural_Etiketi,Nihai_Etiket,Nihai_Confidence,Karar_Kaynağı
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxxwiaHf0FIxsmWDFF4AaABAg,,@emrehatipoglu9319,,"estağfirullah şov olarak program adı değişmeli bence ahahja 

bu arada izlediğim en iyi bölümdü gülmekten karnına ağrı girdi iyi ki varsınız",0,1 gün önce (düzenlendi),Hayır,positive,0.8461,olumlu,0.9846,,olumlu,0.9846,berturk
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyAvcE-2x6AGBYn_q54AaABAg,,@Nazzophy,,"Enis sana hep hayranım, ilk günden beri 🥰 en iyi bölümdü net!",4,4 gün önce,Hayır,positive,0.9329,olumlu,0.9943,,olumlu,0.9943,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,Ugxsbq7orf7wFL3GsfJ4AaABAg.ARrXBEeFIQZARsaeEWGLpt,UgwwX3ugYA1ZmvUNADx4AaABAg,@mervesinemkart1693,@incinurunlusoy4819,@SedaYemişken kaçıncı dakka,1,3 ay önce,Evet,neutral,0.6736,olumsuz,0.9967,,olumsuz,0.9967,berturk
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugw7nIVdA_2OMMGohWF4AaABAg,,@bebegimtugcen,,Tuğba'nın sosis doğrama sahnesinde gülemekten yarıldım,24,1 yıl önce,Hayır,positive,0.6373,olumsuz,0.9955,,olumsuz,0.9955,berturk
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcAHWfe1L_,Ugwct5vPVoZeV3FHVox4AaABAg,@Cent-jw6nw,@Nnissnissa,Enis hariç hepsini gönderin farklı kişiler istiyoruz. Hep aynı kişiler olunca sıkmaya başlar,46,1 ay önce,Evet,negative,0.8377,olumsuz,0.9979,şikayet,şikayet,0.85,kural
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,Ugyg180p-ZqcUE6aDql4AaABAg,,@neslihannsipahii,,İnanılmaz bi seriydi. Hem ekibin uyumu hem sponsorun göze batmadan programa yerleştirilmiş olması seyir zevki açısından çok iyiydi. Perşembe gelsin diye beklediğimiz ve bittiği için boşluğa düştüğümüz bi program oldu bu yüüzden emeği geçen herkese teşekkürler. 2. sezonda görüşürüz (umarımm) 💙💙✨🌸,11,1 ay önce,Hayır,positive,0.9353,olumlu,0.9876,öneri/tavsiye,öneri/tavsiye,0.85,kural
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,https://www.youtube.com/watch?v=VAO5geOPUwI,UgyyvL_VaxcowbxYkaJ4AaABAg,,@aysegultuncer1534,,38:40 çok uzun süredir böyle gülmemiştim,0,6 gün önce,Hayır,positive,0.771,olumlu,0.983,,olumlu,0.983,berturk
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,https://www.youtube.com/watch?v=VAO5geOPUwI,UgxsoeSSdTZm9v8jfyF4AaABAg,,@HayatımızGalatasaray-09,,"Abi nolur açık mutfağa cenan ve arif de gelsib
Üçünüzle inanılmaz bölüm olur",0,2 gün önce,Hayır,positive,0.5748,olumlu,0.9846,,olumlu,0.9846,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,Ugxl9D4tAvm4t__RfDZ4AaABAg,,@dilayzumbulova,,Ya aşırı tatlısın orkun ne güzel fotoğraflarını cekiyosun🫠🫠🫠 14:09,1,7 gün önce,Hayır,positive,0.8748,olumlu,0.7269,,positive,0.8748,xlm_roberta
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgygDd8XLZgSHwqXn6F4AaABAg,,@ozlemm7396,,Cem yılmaza gerçekten kaan sekbanın gösterisinin açılışında çıkmış olması şoku 😂 adam o kadar narsist ki geçmişte yaşadıklarını farklı anlatırsam gerçek artık böyle olur zannediyor 🤦🏼‍♀️,1,3 ay önce,Hayır,negative,0.6661,olumsuz,0.9985,,olumsuz,0.9985,berturk
