Video Başlığı,Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg,,@Tugbayiilmaaz,,AÇIK MUTFAK: ÇOCUKLUK TRAVMALARIM..,6 B,1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg,,@satbaskn2122,,Melisten sonra tuğbayı izlemeye geldim,1 B,2 ay önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzlvgeWqQFDB8YUokF4AaABAg,,@winwin-222,,"Psikolog : 4000 tl ❌
Açık mutfak : ücretsiz ✅","1,6 B",1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg,,@elifs6656,,Tuğba'nın gülüşünü gormeye geldim kdndkdndkdn,637,2 ay önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzzjXXFmU5Lb8bYywF4AaABAg,,@elif.elif153,,Bidaha bidaha tugbayla cekin,358,6 ay önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgygI7SZVuS4OonP-RR4AaABAg,,@melsssu,,Gülmekten bayılıcam birazdan Yeşimle gülme krizlerimiz çakışıyor onun sesini duyunca daha çok gülüyorum Tuğba'nın travmalarına da bittim ya,"2,2 B",1 yıl önce (düzenlendi),Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugxm-8-7M8d_Icb9-BF4AaABAg,,@baharr.m,,Emre tezgahı silmek için canını verip küçük esnaf taklidi yaparken arkada sushi muhabbeti dönmesi açık mutfağın artık en epik anıdır,671,1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxndaW7C7UvcEOBkXF4AaABAg,,@sehercelik255,,"1)Emre aslan askerlik anıları 
2)Tuğba Yılmaz çocukluk anıları 
Saatlerce dinlerim",793,1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg,,@zorbazorfa,,Ayşegül'den sonra Tuğba'ya yeniden gelenlerr 😁🙋‍♀️,554,4 ay önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgwHX5iXvKRLfQRDOJp4AaABAg,,@grapehoneycherry,,tugbanın sureklı inci dıslanmıs gibi hissetmesin diye ondan bahsedip konulara dahil etmesi. o cok tatlı bir insan 🥹💕,"2,8 B",1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyA02KzcBjY5XZbSW54AaABAg,,@twinkllegram,,Yeşimi ekranda görmesek de gülmesiyle yine kahkaha attırdı fjfkkfkf,973,1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugx9aZ3_NqstW_6ufv54AaABAg,,@Zey-Betül,,"Mutfakla aram yok diyen Tuğbayı bile gördü bu gözler Açık Mutfakta, iyi ki gelmiş renk katmış videoya 🫶🏻","1,5 B",1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgwwSqP6q6EaNkwItQt4AaABAg,,@nazli204,,Tuğba'nın çocukluk travmaları bir yandan da hamurla cebelleşmesi  ahhahajakajah aşırı güldürdü ya iyi ki gelmiş karnım ağrıdı gülmekten ajahahIah,"1,1 B",1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyNeI6lhOpG0EPU7RN4AaABAg,,@Patatesli_makarna-f8c,,En iyi açık mutfak bölümlerinden nefes alamıyorum,198,6 ay önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyNtpEeup5pelpqyJ54AaABAg,,@eIifdemir,,"Tuğba o kadar samimii ki, böyle doğal insanları görmeyi özlemişizz",72,2 ay önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugy87XM2Oeayy0SlLJN4AaABAg,,@CeylanKsd,,Tugba inciye cok samimi davrandi ya ikiside cok tatli (emre de),"1,1 B",1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgwIO3Ha4S7nrhghcbl4AaABAg,,@Pinkquee,,Tuğbayı aşırı iyi anlıyorum heyecanlanınca bütün yeteneklerini kaybetmesi ve saçmalaması çok tatlı ben de heycanlanınca  anksiyetem tutuyor ellerim titriyor benim gibi birini görünce mutlu oldum 🥲,653,1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxarQsQks6pc-friKB4AaABAg,,@melodi-h8c,,11:24 Tuğba burada yeni bi gülüş denedi,54,2 ay önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugxdc67W6fx8h8gvBz14AaABAg,,@cisil7450,,İnci gerçekten davranış olarak o kadar hanımefendi o kadar olgun ki 25-26 yaşlarında olduğunu düşünmüştüm ❤,41,2 ay önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgwpIewk5MUD-kiZuTB4AaABAg,,@ezoskilyrics_3004,,"Tuğba'nın saliselik değişen yüz ifadeleri, Yeşim'in çalışmayan araba motoru gibi gülmesi geberttİ PUAHAHSJWNSMW",265,1 yıl önce,Hayır
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEK3biqsa1D,UgwpIewk5MUD-kiZuTB4AaABAg,@oyunzamanı5400,@ezoskilyrics_3004,ben böyle güzel sosis doğrayan görmedim :D,137,1 yıl önce,Evet
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKEeWNncgo,UgwpIewk5MUD-kiZuTB4AaABAg,@eliyevaaa,@ezoskilyrics_3004,Ayyy Tuğba neler yaşamışsın yaaa ne kadar güldümm iyi ki geldin 😅🫶🏻,31,1 yıl önce,Evet
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEK3-EO3NaI,UgwpIewk5MUD-kiZuTB4AaABAg,@ecrinkr,@ezoskilyrics_3004,allah affetsin kendimden gectim gulmekten,187,1 yıl önce,Evet
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKHP7vDvvS,UgwpIewk5MUD-kiZuTB4AaABAg,@Elif-823,@ezoskilyrics_3004,Benim şahsen favori konuklu videom oldu dertleşme kısmı çok güzeldi,22,1 yıl önce,Evet
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKOPFomRES,UgwpIewk5MUD-kiZuTB4AaABAg,@besraaslan3879,@ezoskilyrics_3004,Ölücem gülmeketen harbiden ölücem evde tekim ve yemek yiyerek izliyorum birazdan boğazımdam kalıcak neden öldü diye sorarlarsa açık mutfak izliyordu dersiniz,14,1 yıl önce,Evet
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEK_7zJeLp2,UgwpIewk5MUD-kiZuTB4AaABAg,@gultenkoc8954,@ezoskilyrics_3004,Açık mutfak katarsis izledik😂,4,1 yıl önce,Evet
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAELHcrK5H8J,UgwpIewk5MUD-kiZuTB4AaABAg,@zyk.10,@ezoskilyrics_3004,Heyecanın çok tatlıydı üzülme 🤍,4,1 yıl önce,Evet
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAELxdCTZtnx,UgwpIewk5MUD-kiZuTB4AaABAg,@paradisegarden1987,@ezoskilyrics_3004,Tuğbacım gerçekten çok tatlısın kalbının güzelliği yüzüne yansımış en çok güldüğüm video abartmıyorum 😂❤🎉,3,1 yıl önce,Evet
