Video Başlığı,Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,Kural_Etiketi,XLM_Turkce,Nihai_Etiket
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg,,@Tugbayiilmaaz,,AÇIK MUTFAK: ÇOCUKLUK TRAVMALARIM..,"5,9 B",1 yıl önce,Hayır,negative,0.8949,,olumsuz,olumsuz
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg,,@satbaskn2122,,Melisten sonra tuğbayı izlemeye geldim,998,1 ay önce,Hayır,neutral,0.5177,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg,,@elifs6656,,Tuğba'nın gülüşünü gormeye geldim kdndkdndkdn,584,1 ay önce,Hayır,positive,0.6906,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzzjXXFmU5Lb8bYywF4AaABAg,,@elif.elif153,,Bidaha bidaha tugbayla cekin,340,5 ay önce,Hayır,neutral,0.4174,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg,,@zorbazorfa,,Ayşegül'den sonra Tuğba'ya yeniden gelenlerr 😁🙋‍♀️,541,4 ay önce,Hayır,positive,0.5264,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzlvgeWqQFDB8YUokF4AaABAg,,@winwin-222,,"Psikolog : 4000 tl ❌
Açık mutfak : ücretsiz ✅","1,6 B",1 yıl önce,Hayır,neutral,0.8085,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugy87XM2Oeayy0SlLJN4AaABAg,,@CeylanKsd,,Tugba inciye cok samimi davrandi ya ikiside cok tatli (emre de),1 B,1 yıl önce,Hayır,positive,0.7872,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxndaW7C7UvcEOBkXF4AaABAg,,@sehercelik255,,"1)Emre aslan askerlik anıları 
2)Tuğba Yılmaz çocukluk anıları 
Saatlerce dinlerim",752,1 yıl önce,Hayır,neutral,0.5573,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyNtpEeup5pelpqyJ54AaABAg,,@eIifdemir,,"Tuğba o kadar samimii ki, böyle doğal insanları görmeyi özlemişizz",66,1 ay önce,Hayır,positive,0.7573,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgwHX5iXvKRLfQRDOJp4AaABAg,,@grapehoneycherry,,tugbanın sureklı inci dıslanmıs gibi hissetmesin diye ondan bahsedip konulara dahil etmesi. o cok tatlı bir insan 🥹💕,"2,8 B",1 yıl önce,Hayır,positive,0.7184,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugxm-8-7M8d_Icb9-BF4AaABAg,,@baharr.m,,Emre tezgahı silmek için canını verip küçük esnaf taklidi yaparken arkada sushi muhabbeti dönmesi açık mutfağın artık en epik anıdır,656,1 yıl önce,Hayır,positive,0.4251,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyA02KzcBjY5XZbSW54AaABAg,,@twinkllegram,,Yeşimi ekranda görmesek de gülmesiyle yine kahkaha attırdı fjfkkfkf,946,1 yıl önce,Hayır,positive,0.4675,,olumlu,olumlu
