Video Başlığı,Yorum ID,Yorum Metni,Nihai_Etiket,etiket_id,Beğeni Sayısı,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,Kural_Etiketi
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgzvZd1PfZg3zaaS7tB4AaABAg,ay cok mutlu oldum 🎉❤,olumlu,0,1,Hayır,positive,0.9276,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgyoCW_idUeaQPcSlX14AaABAg,tuğkan abiyle bi samimiyet sezemedik zaten KDÖDPDLPDLD,olumsuz,1,474,Hayır,negative,0.5136,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwMIH6XxAEYwGzXlMp4AaABAg,Sabırsızlıkla 2 Sezonu bekliyoruz,olumlu,0,0,Hayır,positive,0.7957,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwOS5TAw-MAKIyCug94AaABAg,Yeni sezon LÜTFEN!!,nötr,2,0,Hayır,neutral,0.3874,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxwBEY2oz7Ecj-EiWR4AaABAg.AVBG2nZNrlXAVDhndhi4uJ,Dakikalar yok mu direkt benzeyen,nötr,2,9,Evet,neutral,0.5641,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugw6TmJWVu_-OANDVUx4AaABAg,Zeynep bastığı protesto ediyoruz,nötr,2,0,Hayır,neutral,0.6407,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgzlWaPzIa4EBZJ2stB4AaABAg,Ya ne taktınız melisin kahkahasına gayette neşeli ve eğleniyo o esnada doğal olarak gülüp kahkaha atıyo kadın,olumlu,0,0,Hayır,positive,0.8426,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgwyBtmbK8BLKTeu6Qt4AaABAg,“Ay başım tuttu sus artık!” Koptum ya,olumsuz,1,0,Hayır,negative,0.8788,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgzPHnGW-xGml2jen354AaABAg.AVCUMn_nSglAVar4Kx4FvY,<kullaniciadi> bana mi ne nasil ya,olumsuz,1,0,Evet,negative,0.719,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugx4fzNvaiN-EAQ_maV4AaABAg,Cenan arif GELSINN,nötr,2,1,Hayır,neutral,0.3805,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEYCKusWS4S,Öldüm gülmekten dhsjsjsjdj kumpir olayı bitirdi beni 😂😂,olumlu,0,2,Evet,positive,0.4814,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgwziO76mAg44L_ozAh4AaABAg,Ispanağa bulgur koyanlar da var bu arada gördüm ben baya,nötr,2,1,Hayır,neutral,0.4187,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgwTsW37LgGNvO6iv0p4AaABAg,cemile oğuzhan koç şarkısı söyleyip mustafa sandal dansı yapıp tarkanı düşündü döşröcğeçdğe,nötr,2,191,Hayır,neutral,0.4467,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgxNEr0M9HIK2kgbpsB4AaABAg,Melih abinin hesap ? Ver coşkuyu yapalım,nötr,2,0,Hayır,neutral,0.5172,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgxVt865j4oaa5Gq2pZ4AaABAg,Abii dedektif videosu GELSINN,nötr,2,4,Hayır,neutral,0.5048,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugy80IIIU3442slEs854AaABAg,izlerken ÇOK fazla gülmemin dısında bana cok fazla şey kattı bu program en basta enis arıkana karsı ön yargılı olmuş olmam ve enisin aslında bu kadar iyi kalpli pozitif ve eğlenceli biri olduğunu görmek kendimi sorgulamamı ve önyargılarımdan neftet etmemi sagladı bu basit bir düşünce değil gerçekten sanki içimde bir ışık yaktı gerçekten kendi olabildiğinde etrafına ışık saçan güven ve ilham veren biri içim ısındı izlerken dediği gibi gerçekten de en kötü insanı alıp 2 günde melek yapma potansiyeli var 😂 melis işiten ile iyi anlaşmalarına da hiç şaşırmadım ikisi de iyi kalpli çok şeker insanlar biz arkadaş olalımm dediği yerde eridim çok tatlıydı ahhaha off sevgi pıtırcıgı oldum izlerken hepinizi çok seviyorum,olumlu,0,0,Hayır,positive,0.822,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzWwq3jNsOY-nHYo0R4AaABAg,Dünyanın en iyi serisi,olumlu,0,0,Hayır,positive,0.9325,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcmH1jjK3B,2 SEZON GELSIN ACIL BU HYPE KACMAZ ABI ON NUMARA PROJE HEM ASIRI KEYIFLE VIDEOLARI IZLEDIK HEM DE KEYIFLE MOBILE LAGENSIMIZI OYNADIK,öneri/tavsiye,3,0,Evet,negative,0.5102,öneri/tavsiye
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugx14euD53EsuC79gkB4AaABAg,İZLENME ÇOK İYİ İSİM FARKETMEDEN MELİS HANIM BU İŞİ YAPIYOR,olumlu,0,0,Hayır,positive,0.8431,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgwpyAz-MaXsCPFtGTJ4AaABAg,arkayida cekin lutfen gormek isdiyorum cok iyi o taraf,olumlu,0,0,Hayır,positive,0.4577,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxWyFiQwjU0js6gDKt4AaABAg,Cok guldum tesekkur ederim,olumlu,0,1,Hayır,positive,0.9109,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgwPZgo5MUGZ5EwCKUR4AaABAg.ARtgmNGGOrbASHyyoyOLnC,​ <kullaniciadi> l6l yok o kadar da değil,nötr,2,3,Evet,neutral,0.5338,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgycuV824JF2CH7IVh14AaABAg.ARlYL7YosKtAVFxI34iKFX,hdhdhdjdj Cem Yılmaz ın esprilerinden daha komik net,olumlu,0,0,Evet,positive,0.3982,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwPIMyV99uMruz9BLp4AaABAg.AUc8r-lx7dfAUciXceR4Po,Şebnem yenge Enis hocayı iyi bir döver mutfağı batırırsa,olumsuz,1,0,Evet,negative,0.6015,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyZqdZiNoQIWWMDSO94AaABAg,Abi siz 3bin beyeniye az diyonuzda ben 27 beyeniye s3viniyom😢,olumsuz,1,1,Hayır,negative,0.7773,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgyP1iOYPjebn1q3MG14AaABAg,Enis Arıkan çok tatlı bir insan,olumlu,0,0,Hayır,positive,0.9155,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgyrnjJgP9C1uVBa6et4AaABAg,Nil peri neden gora4 de yok olsaydı güzel olurdu,olumsuz,1,0,Hayır,negative,0.5912,
